Nome,Preço,Categoria,Disponível
"ANTI-GRIPAL 220G",11,54,"Produtos Naturais",Sim
"AZIL FRESH 100G UNILIFE",14,"Produtos Naturais",Sim
"CANELA DE VELHO 240G",10,"Produtos Naturais",Sim
"CANELA DE VELHO BISNAGA 150G",6,99,"Cosméticos",Sim
"CHICORIA COM MANA 30 ML",3,49,"Produtos Naturais",Sim
"CLORETO DE MAGNÉSIA CAP. P.A 60",28,"Produtos Naturais",Sim
"CLORETO DE MAGNESIO CAPSULA DUOM 60",18,99,"Produtos Naturais",Sim
"COLAGENO TIPO II AC. HIALURÔNICO 600MG 60 CP",35,"Produtos Naturais",Sim
"COLAGENO TIPO II ACIDO HIALURONICO 600G 60 CP.",0,05,"Produtos Naturais",Sim
"COMPLEXO B FITOPLANT 400 MG 60 CAPSULAS",0,03,"Produtos Naturais",Sim
"CREME DE AROEIRA 30G",4,14,"Produtos Naturais",Sim
"CREME HID LAB BG AMORA CLARO 10G",19,09,"Cosméticos",Sim
"CREME HIDRATANTE FASHION SEBO DE CARNEIRO 200M",10,16,"Cosméticos",Sim
"CREME PARA AS MÃOS COM SBO DE CARNEIRO 240G",7,88,"Cosméticos",Sim
"CREME PARA OS PES E MÃOS COM SEBO DE CARNEIRO 240G APINIL",4,99,"Cosméticos",Sim
"CREME TIRA MANACHAS 20 GR GD INDIAN",14,"Cosméticos",Sim
"CURCUM LONGA 600 MG 60 CAPSULAS",0,06,"Produtos Naturais",Sim
"ENXOFRE EM PO 30G",4,87,"Produtos Naturais",Sim
"EXTRATO DE PRÓPOLIS VERDE 30 ML",13,75,"Produtos Naturais",Sim
"FERRO ACIDO FOLICO E  VITAMINS B12 400 MG 60 CAPSULAS",0,19,"Produtos Naturais",Sim
"GOTAS DO ZECA 100 ML",0,"Produtos Naturais",Sim
"GOTAS MILAGROSA 30 ML NATTY VIDA UND",5,01,"Produtos Naturais",Sim
"JALAPA 30 ML PARAMED",2,75,"Produtos Naturais",Sim
"LEVEDURA DE CERVEJA 600MG 120 CAPSULAS",0,23,"Produtos Naturais",Sim
"LICOPENO E SELENIO 780MG 60 CAPSULAS",0,08,"Produtos Naturais",Sim
"LOÇÃO HIDRATANTE AMEIXA 190G APINIL",6,89,"Cosméticos",Sim
"LOÇAO HIDRATANTE ROSA MOSQUETA 190G APINIL",9,23,"Cosméticos",Sim
"MANTEIGA CACAU LABIAL 50 UNDS",92,"Produtos Naturais",Sim
"MANTEIGA DE CACAU LABIAL  12 UNDS",24,99,"Produtos Naturais",Sim
"MANTEIGA DE CACAU PROTETOR LABIAL ROLL ON PHARMA 6ML",5,46,"Produtos Naturais",Sim
"MICOSAN 30 GR NATTY VIDA",5,1,"Produtos Naturais",Sim
"MOUSSE MICELAR MORANGO 150 ML",13,79,"Cosméticos",Sim
"MOUSSE MICELAR ROSA MOSQUETA 150 APINIL",13,79,"Cosméticos",Sim
"OLEO CAPILAR DE COCO 120 ML",8,35,"Cosméticos",Sim
"OLEO DE MASSAGEM PIERRE JOUAR 120ML",16,35,"Produtos Naturais",Sim
"OLEO DE MASSAGEM PIERRE PETER 140ML ALIVIA DOR",15,94,"Produtos Naturais",Sim
"OLEO DE MENTA EXTRA FORTE 10 ML",7,"Produtos Naturais",Sim
"OLEO DE ROSA MOSQUETA 30 ML APINIL",4,96,"Cosméticos",Sim
"PACOTE BALAS GENGIBRE 100 UNDS",19,23,"Alimentos",Sim
"POMADA MASSAGEADORA CARTILAGEM DE TUBARÃO 150G",5,45,"Produtos Naturais",Não
"POMADA PRETA 240G APINIL",4,99,"Cosméticos",Sim
"SABONETE BARBATIMÃO AROMED 90G",2,59,"Cosméticos",Sim
"SABONETE COCO AROMED 90G",2,34,"Cosméticos",Sim
"SABONETE DE AROIERA AROMED UND 90G",2,2,"Cosméticos",Sim
"SABONETE ENXOFRE AROMED 90G",2,87,"Cosméticos",Sim
"SABONETE GLICERINA AROMED 90G",2,65,"Cosméticos",Sim
"SABONETE INTIMO AROEIRA BIO INSTINTO200ML",7,5,"Cosméticos",Sim
"SABONETE INTIMO MENTA APINIL 210ML",5,45,"Cosméticos",Sim
"SOLUÇAO TIRA MANCHAS 100 ML GD INDIAN",14,"Cosméticos",Sim
